Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1946-47,18,DET,NHL,58,7,15,22,,52,7,0,0,0,15,0,0,,,,
1947-48,19,DET,NHL,60,16,28,44,,63,14,1,1,2,23,5,0,,,,
1948-49,20,DET,NHL,40,12,25,37,,57,10,2,0,2,21,4,0,,,,
1949-50,21,DET,NHL,70,35,33,68,,69,30,5,0,4,21,12,0,,,,
1950-51,22,DET,NHL,70,43,43,86,,74,38,5,0,9,32,11,0,,,,
1951-52,23,DET,NHL,70,47,39,86,,78,41,5,1,10,20,19,0,,,,
1952-53,24,DET,NHL,70,49,46,95,,57,37,11,1,6,30,16,0,,,,
1953-54,25,DET,NHL,70,33,48,81,,109,18,15,0,8,30,18,0,,,,
1954-55,26,DET,NHL,64,29,33,62,,68,20,7,2,5,22,11,0,,,,
1955-56,27,DET,NHL,70,38,41,79,,100,24,14,0,8,18,22,1,,,,
1956-57,28,DET,NHL,70,44,45,89,,74,29,15,0,6,28,16,1,,,,
1957-58,29,DET,NHL,64,33,44,77,,38,20,10,3,7,29,14,1,,,,
1958-59,30,DET,NHL,70,32,46,78,,57,24,8,0,5,25,20,1,,,,
1959-60,31,DET,NHL,70,28,45,73,16,46,21,5,2,5,27,17,1,354,7.9,,
1960-61,32,DET,NHL,64,23,49,72,-5,30,15,6,2,4,31,17,1,357,6.4,,
1961-62,33,DET,NHL,70,33,44,77,12,54,21,10,2,7,30,13,1,346,9.5,,
1962-63,34,DET,NHL,70,38,48,86,23,100,25,13,0,6,29,18,1,351,10.8,,
1963-64,35,DET,NHL,69,26,47,73,-10,70,13,12,1,3,30,17,0,345,7.5,,
1964-65,36,DET,NHL,70,29,47,76,22,104,13,13,3,2,27,20,0,341,8.5,,
1965-66,37,DET,NHL,70,29,46,75,19,83,22,7,0,3,26,17,3,274,10.6,,
1966-67,38,DET,NHL,69,25,40,65,-3,53,16,8,1,1,25,14,1,293,8.5,,
1967-68,39,DET,NHL,74,39,43,82,12,53,29,10,0,4,31,12,0,301,13,,
1968-69,40,DET,NHL,76,44,59,103,45,58,35,9,0,6,43,16,0,284,15.5,,
1969-70,41,DET,NHL,76,31,40,71,23,58,16,11,4,5,28,12,0,268,11.6,,
1970-71,42,DET,NHL,63,23,29,52,-3,38,15,7,1,3,20,9,0,195,11.8,,
1973-74,45,HSA,WHA,70,31,69,100,,46,19,9,3,5,,,,,,,
1974-75,46,HSA,WHA,75,34,65,99,40,84,23,8,3,,,,,255,13.3,,
1975-76,47,HSA,WHA,78,32,70,102,14,76,19,12,1,4,,,,241,13.3,,
1976-77,48,HSA,WHA,62,24,44,68,27,57,18,5,1,3,,,,162,14.8,,
1977-78,49,NEW,WHA,76,34,62,96,46,85,18,16,0,,,,,163,20.9,,
1978-79,50,NEW,WHA,58,19,24,43,9,51,12,7,0,,,,,117,16.2,,
1979-80,51,HAR,NHL,80,15,26,41,9,42,13,2,0,0,23,3,0,94,16,,
25 yrs,,DET,NHL,1687,786,1023,1809,151,1643,553,209,24,121,661,350,12,3709,9.9,,
1 yr,,HAR,NHL,80,15,26,41,9,42,13,2,0,0,23,3,0,94,16,,
4 yrs,,HSA,WHA,285,121,248,369,81,263,79,34,8,12,,,,658,13.7,,
2 yrs,,NEW,WHA,134,53,86,139,55,136,30,23,0,,,,,280,18.9,,
Career,,26 yrs,NHL,1767,801,1049,1850,160,1685,566,211,24,121,684,353,12,3803,10.1,,
Career,,6 yrs,WHA,419,174,334,508,136,399,109,57,8,12,,,,938,15.2,,
,,,,,,,,,,,,,,,,,,,,
