Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1978-79,18,TOT,WHA,52,1,10,11,-10,58,,,,,,,,62,1.6,,
1978-79,18,INR,WHA,5,0,0,0,-4,0,0,0,0,,,,,7,0,,
1978-79,18,CNS,WHA,47,1,10,11,-6,58,1,0,0,,,,,55,1.8,,
1979-80,19,EDM,NHL,75,12,21,33,-9,120,10,1,1,1,18,2,1,113,10.6,,
1980-81,20,EDM,NHL,72,23,40,63,-12,102,19,4,0,1,31,6,3,179,12.8,,
1981-82,21,EDM,NHL,78,50,38,88,20,119,40,10,0,3,32,5,1,235,21.3,,
1982-83,22,EDM,NHL,77,48,58,106,18,72,35,12,1,2,34,20,4,237,20.3,,
1983-84,23,EDM,NHL,73,37,64,101,40,165,26,7,4,7,39,18,7,220,16.8,,
1984-85,24,EDM,NHL,55,23,31,54,10,57,14,4,5,1,20,8,3,138,16.7,,
1985-86,25,EDM,NHL,63,35,49,84,35,70,20,10,5,7,33,13,3,198,17.7,,
1986-87,26,EDM,NHL,77,37,70,107,22,73,26,7,4,5,42,21,7,210,17.6,,
1987-88,27,EDM,NHL,77,37,74,111,21,103,22,12,3,7,48,21,5,182,20.3,,
1988-89,28,EDM,NHL,72,33,61,94,-5,130,21,6,6,4,27,28,6,164,20.1,,
1989-90,29,EDM,NHL,79,45,84,129,19,79,26,13,6,3,45,34,5,211,21.3,,
1990-91,30,EDM,NHL,53,12,52,64,15,34,8,3,1,2,34,18,0,109,11,,
1991-92,31,NYR,NHL,79,35,72,107,31,76,19,12,4,6,46,21,5,212,16.5,,
1992-93,32,NYR,NHL,75,25,66,91,-6,72,16,7,2,2,41,23,2,215,11.6,,
1993-94,33,NYR,NHL,76,26,58,84,25,76,18,6,2,5,21,30,7,216,12,,
1994-95,34,NYR,NHL,46,14,39,53,8,40,8,3,3,2,22,17,0,126,11.1,,
1995-96,35,NYR,NHL,74,47,52,99,29,122,32,14,1,5,26,23,3,241,19.5,,
1996-97,36,NYR,NHL,71,36,48,84,12,88,24,7,5,9,31,11,6,227,15.9,,
1997-98,37,VAN,NHL,82,22,38,60,-10,58,12,8,2,2,19,17,2,139,15.8,,
1998-99,38,VAN,NHL,59,13,35,48,-12,33,7,4,2,2,12,18,5,97,13.4,1333,22:36
1999-00,39,VAN,NHL,66,17,37,54,-15,30,11,6,0,4,23,13,1,131,13,1399,21:12
2000-01,40,NYR,NHL,82,24,43,67,-25,89,9,12,3,2,23,17,3,131,18.3,1578,19:14
2001-02,41,NYR,NHL,41,7,16,23,-1,32,5,2,0,2,9,6,1,69,10.1,759,18:31
2002-03,42,NYR,NHL,78,18,22,40,-2,30,9,8,1,5,14,8,0,117,15.4,1453,18:38
2003-04,43,NYR,NHL,76,18,25,43,3,42,15,1,2,3,20,4,1,104,17.3,1253,16:29
12 yrs,,EDM,NHL,851,392,642,1034,174,1124,267,89,36,43,403,194,45,2196,17.9,,
10 yrs,,NYR,NHL,698,250,441,691,74,667,155,72,23,41,253,160,28,1658,15.1,5043,18:12
3 yrs,,VAN,NHL,207,52,110,162,-37,121,30,18,4,8,54,48,8,367,14.2,2732,21:52
1 yr,,CNS,WHA,47,1,10,11,-6,58,1,0,0,,,,,55,1.8,,
1 yr,,INR,WHA,5,0,0,0,-4,0,0,0,0,,,,,7,0,,
Career,,25 yrs,NHL,1756,694,1193,1887,211,1912,452,179,63,92,710,402,81,4221,16.4,7775,19:20
Career,,1 yr,WHA,52,1,10,11,-10,58,1,0,0,,,,,62,1.6,,
,,,,,,,,,,,,,,,,,,,,
