DateTime,Shot Type,PowerPlay,XLocation,YLocation
2010-10-09T23:00:00Z,Wrist Shot,TRUE,57,13
2010-10-09T23:00:00Z,Wrist Shot,TRUE,75,-5
2010-10-11T23:00:00Z,Snap Shot,TRUE,-46,22
2010-10-13T23:00:00Z,Wrist Shot,TRUE,48,29
2010-10-29T00:00:00Z,Wrist Shot,TRUE,48,-12
2010-10-31T02:00:00Z,Slap Shot,FALSE,-67,-27
2010-10-31T02:00:00Z,Wrist Shot,FALSE,-46,-17
2010-11-03T23:00:00Z,Wrist Shot,TRUE,-73,6
2010-11-05T23:00:00Z,Wrist Shot,TRUE,-69,5
2010-11-12T00:00:00Z,Wrist Shot,TRUE,-59,-7
2010-11-14T22:00:00Z,Wrist Shot,TRUE,-57,-18
2010-11-28T22:00:00Z,Snap Shot,TRUE,-78,4
2010-12-05T00:00:00Z,Slap Shot,TRUE,76,24
2010-12-07T00:00:00Z,Snap Shot,TRUE,55,23
2010-12-24T00:00:00Z,Backhand,TRUE,-84,-8
2010-12-27T00:00:00Z,Snap Shot,TRUE,-81,-9
2010-12-29T00:00:00Z,Wrist Shot,TRUE,-47,-17
2011-01-09T00:00:00Z,Snap Shot,TRUE,-75,-3
2011-01-19T00:00:00Z,Wrist Shot,TRUE,82,3
2011-01-23T00:00:00Z,Slap Shot,TRUE,81,3
2011-01-23T00:00:00Z,Wrist Shot,TRUE,67,15
2011-01-23T00:00:00Z,Wrist Shot,TRUE,60,0
2011-02-05T00:30:00Z,Snap Shot,FALSE,58,29
2011-02-12T17:30:00Z,Wrist Shot,TRUE,-48,-9
2011-02-17T03:00:00Z,Snap Shot,TRUE,-69,2
2011-02-18T03:30:00Z,Wrist Shot,FALSE,-56,-3
2011-02-22T00:30:00Z,Slap Shot,FALSE,48,-10
2011-03-02T00:00:00Z,Backhand,TRUE,-80,5
2011-03-08T00:00:00Z,Wrist Shot,TRUE,-68,10
2011-03-10T00:00:00Z,Wrist Shot,FALSE,80,10
2011-03-10T00:00:00Z,Tip-In,TRUE,-78,5
2011-03-12T00:00:00Z,Snap Shot,TRUE,-54,-8
2011-03-16T23:30:00Z,Wrist Shot,TRUE,-63,-1
2011-04-02T23:00:00Z,Wrist Shot,TRUE,-53,-6
2011-04-05T23:00:00Z,Slap Shot,FALSE,48,19
2011-04-06T23:00:00Z,Backhand,TRUE,-84,-6
2011-04-13T23:30:00Z,Wrist Shot,TRUE,-79,0
2011-04-17T19:00:00Z,Tip-In,TRUE,-83,-3
2011-04-23T19:00:00Z,Backhand,TRUE,73,6
2011-05-01T23:00:00Z,Wrist Shot,TRUE,-78,2
2011-05-03T22:30:00Z,Wrist Shot,FALSE,67,-4
2011-09-30T23:00:00Z,Backhand,TRUE,81,6
2011-10-13T23:00:00Z,Tip-In,TRUE,-69,-5
2011-10-20T23:00:00Z,Snap Shot,TRUE,83,3
2011-10-20T23:00:00Z,Snap Shot,FALSE,58,-6
2011-10-30T02:00:00Z,Deflected,TRUE,-77,-2
2011-10-30T02:00:00Z,Snap Shot,FALSE,60,-17
2011-11-05T23:00:00Z,Slap Shot,TRUE,35,6
2011-11-12T00:00:00Z,Wrist Shot,TRUE,84,4
2011-11-13T00:00:00Z,Wrist Shot,TRUE,-61,1
2011-11-25T21:00:00Z,Wrist Shot,TRUE,-60,-4
2011-12-08T00:00:00Z,Snap Shot,TRUE,-59,22
2011-12-16T01:30:00Z,Wrist Shot,TRUE,55,-10
2011-12-21T00:00:00Z,Snap Shot,TRUE,-73,-11
2011-12-27T00:00:00Z,Wrist Shot,FALSE,-44,-1
2011-12-31T00:00:00Z,Wrist Shot,FALSE,-75,21
2011-12-31T00:00:00Z,Snap Shot,TRUE,-58,-2
2012-01-01T00:00:00Z,Wrist Shot,TRUE,-80,-16
2012-01-01T00:00:00Z,Slap Shot,FALSE,-65,20
2012-01-04T00:00:00Z,Slap Shot,FALSE,-54,-24
2012-01-14T00:00:00Z,Wrist Shot,FALSE,-31,10
2012-01-19T00:30:00Z,Slap Shot,FALSE,-31,27
2012-01-22T17:30:00Z,Snap Shot,TRUE,-63,-20
2012-02-08T00:00:00Z,Wrist Shot,FALSE,-74,-24
2012-02-08T00:00:00Z,Wrist Shot,TRUE,45,6
2012-02-10T00:00:00Z,Wrist Shot,FALSE,-85,17
2012-02-10T00:00:00Z,Wrist Shot,TRUE,-75,3
2012-02-18T00:30:00Z,Wrist Shot,FALSE,82,18
2012-02-25T00:00:00Z,Slap Shot,TRUE,63,22
2012-02-29T00:00:00Z,Snap Shot,TRUE,-52,-19
2012-03-09T00:00:00Z,Wrist Shot,TRUE,-68,15
2012-03-13T23:00:00Z,Tip-In,TRUE,-85,-5
2012-03-13T23:00:00Z,Tip-In,TRUE,82,3
2012-03-13T23:00:00Z,Backhand,TRUE,73,1
2012-03-18T23:00:00Z,Wrist Shot,TRUE,-78,-4
2012-03-19T23:30:00Z,Slap Shot,FALSE,60,-3
2012-03-19T23:30:00Z,Snap Shot,FALSE,74,-5
2012-03-22T23:00:00Z,Wrist Shot,TRUE,74,10
2012-03-23T23:00:00Z,Snap Shot,TRUE,37,24
2012-03-23T23:00:00Z,Slap Shot,TRUE,49,23
2012-03-25T21:00:00Z,Snap Shot,TRUE,-56,-11
2012-04-05T23:00:00Z,Wrist Shot,TRUE,78,-4
2012-04-07T22:30:00Z,Snap Shot,TRUE,50,14
2012-04-16T23:30:00Z,Slap Shot,TRUE,58,-10
2012-04-22T19:00:00Z,Slap Shot,TRUE,-55,12
2012-04-30T23:30:00Z,Wrist Shot,FALSE,33,2
2012-05-05T16:30:00Z,Slap Shot,TRUE,-47,6
2012-05-09T23:30:00Z,Slap Shot,FALSE,-58,0
2013-01-27T20:00:00Z,Slap Shot,FALSE,-68,-21
2013-02-01T00:00:00Z,Wrist Shot,FALSE,-46,-19
2013-02-08T00:00:00Z,Wrist Shot,FALSE,-67,-12
2013-02-10T00:00:00Z,Slap Shot,TRUE,-59,14
2013-02-13T00:30:00Z,Slap Shot,FALSE,51,18
2013-02-23T17:00:00Z,Wrist Shot,TRUE,67,16
2013-02-23T17:00:00Z,Snap Shot,TRUE,-55,19
2013-02-23T17:00:00Z,Slap Shot,FALSE,-71,-3
2013-03-08T00:00:00Z,Slap Shot,FALSE,62,8
2013-03-14T23:00:00Z,Snap Shot,FALSE,72,18
2013-03-17T23:00:00Z,Wrist Shot,TRUE,-53,18
2013-03-19T23:30:00Z,Snap Shot,FALSE,74,12
2013-03-22T00:00:00Z,Snap Shot,FALSE,75,8
2013-03-22T23:00:00Z,Snap Shot,TRUE,-54,28
2013-03-22T23:00:00Z,Slap Shot,FALSE,69,21
2013-03-24T23:00:00Z,Tip-In,TRUE,76,0
2013-03-24T23:00:00Z,Wrist Shot,TRUE,83,-3
2013-03-30T23:00:00Z,Wrist Shot,FALSE,57,30
2013-03-30T23:00:00Z,Wrist Shot,TRUE,-70,1
2013-03-31T22:00:00Z,Slap Shot,FALSE,67,20
2013-04-02T23:00:00Z,Snap Shot,TRUE,54,-15
2013-04-02T23:00:00Z,Wrist Shot,TRUE,-79,5
2013-04-04T23:00:00Z,Backhand,TRUE,-79,-1
